OBJECTID,Beginn Lebenszeitinterval,Administrative Ebene,Länderkennzeichen,Amtlicher Regionalschlüssel,Amtlicher Gemeindeschlüssel,Sitz der Verwaltung (Amtl. Regionalschlüssel),Geografischer Name,Bezeichnung der Verwaltungseinheit,Bemerkung,Land,Regierungsbezirk,Kreis,Verwaltungsgemeinschaft -vorderer Teil,Verwaltungsgemeinschaft -hinterer Teil,Gemeinde,Funktion der 3. Schlüsselstelle,Europäischer Statistikschlüssel,aufgefüllter Amtlicher Regionalschlüssel,aufgefüllter Amtlicher Gemeindeschlüssel,Wirksamkeit,Einwohnerzahl,Katasterfläche,DLM-Objektidentifikator,Shape__Area,Shape__Length
1,12/20/2022 12:00:00 AM,6,SH,010010000000,01001000,010010000000,Flensburg,Stadt,kreisfrei,01,0,01,00,00,000,R,DEF01,010010000000,01001000,1/1/2008 12:00:00 AM,96326,56.73,DEBKGDL20000E5MA,147888904.625977,72794.3431875017
2,1/4/2025 12:00:00 AM,6,SH,010020000000,01002000,010020000000,Kiel,Stadt,kreisfrei,01,0,02,00,00,000,R,DEF02,010020000000,01002000,1/1/2006 12:00:00 AM,252668,118.65,DEBKGDL20000004J,330944726.427246,171301.616421028
3,1/4/2025 12:00:00 AM,6,SH,010030000000,01003000,010030000000,Lübeck,Stadt,kreisfrei,01,0,03,00,00,000,R,DEF03,010030000000,01003000,2/1/2006 12:00:00 AM,216889,214.19,DEBKGDL20000DYMA,607762795.367188,248070.687907613
4,12/20/2022 12:00:00 AM,6,SH,010040000000,01004000,010040000000,Neumünster,Stadt,kreisfrei,01,0,04,00,00,000,R,DEF04,010040000000,01004000,4/26/1970 12:00:00 AM,79809,71.66,DEBKGDL20000E4SA,207711208.056641,92320.0844836043
5,10/4/2023 12:00:00 AM,6,SH,010510011011,01051011,010510011011,Brunsbüttel,Stadt,--,01,0,51,00,11,011,R,DEF05,010510011011,01051011,1/1/2009 12:00:00 AM,12692,65.21,DEBKGDL20000E2IK,143405124.165039,70466.6031902664
6,1/4/2025 12:00:00 AM,6,SH,010510044044,01051044,010510044044,Heide,Stadt,--,01,0,51,00,44,044,R,DEF05,010510044044,01051044,1/1/2009 12:00:00 AM,22002,31.97,DEBKGDL20000E0M5,92874082.9208984,61874.6850958416
7,8/2/2017 12:00:00 AM,6,SH,010515163003,01051003,010515163003,Averlak,Gemeinde,gemeinschaftsangehörig,01,0,51,51,63,003,R,DEF05,010515163003,01051003,1/1/2008 12:00:00 AM,608,9.06,DEBKGDL20000E6BB,25990103.2827148,25266.6015124442
8,1/4/2025 12:00:00 AM,6,SH,010515163010,01051010,010515163010,Brickeln,Gemeinde,gemeinschaftsangehörig,01,0,51,51,63,010,R,DEF05,010515163010,01051010,1/1/2008 12:00:00 AM,186,6.07,DEBKGDL20000E62A,17398755.5126953,23275.7025191391
9,1/4/2025 12:00:00 AM,6,SH,010515163012,01051012,010515163012,Buchholz,Gemeinde,gemeinschaftsangehörig,01,0,51,51,63,012,R,DEF05,010515163012,01051012,1/1/2008 12:00:00 AM,992,14.56,DEBKGDL20000E1TU,42038072.2324219,35975.8881506262
10,1/4/2025 12:00:00 AM,6,SH,010515163016,01051016,010515163016,Burg (Dithmarschen),Gemeinde,gemeinschaftsangehörig,01,0,51,51,63,016,R,DEF05,010515163016,01051016,1/1/2008 12:00:00 AM,4070,11.25,DEBKGDL20000E2BN,32873851.609375,30000.9729406336
