FID,Gewässername,Gewässertyp,AREA_CALC,RESTRICTED,Internationale Gewässerkennung,APSFR_CD,Kennung der Flussgebietseinheit,Ländercode,Erstellungsdatum des Datensatzes,Ist der Wasserkörper erheblich verändert?,Wassernutzung,Physikalische Veränderung,Ist der Wasserkörper künstlich?,Ökologischer Zustand,Ökologisches Potential,Chemischer Zustand,Zuverlässlichkeit des Ergebnis des chemischen Zustands,Zuverlässlichkeit des Ergebnis des ökologischen Zustands,Risikoabschätzung des ökologischen Zustands,Risikoabschätzung des ökologischen Potentials,Risikoabschätzung des chemischen Zustands,Gültigkeitsdatum der Risikoabschätzung,Risiko in Summe,Involvierte Länder,IMPORTDATE,Federführendes Land,AREA_MAX,CAND_JOIN,Letzte berichtete Wasserkörperkennung,Beschreibung des Typen nach WRRL,Auswirkungen der Wasserkörperbelastung,DESIGBEGIN,EVOLUTIONT,Lage zu nationalen Grenzen,INT_CAL_TP,Treiber der Veränderung,Maßstabskategorie,Code für Planungseinheit,Bearbeitungsgebiet,Schablonenname,Metadatendatei,Metadaten URL,SHAPE_Leng,Shape__Area,Shape__Length
1,Innere Schlei,Costal water,7.53,1,DECW_DESH_B2-9610-07-04, ,9610,DESH,12/19/2019 12:00:00 AM,N, , ,N,5, ,3,3,3,3, ,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,7.53,1,DE_CW_B2.9610.07.04,B2,"CHEM,NUTR",12/22/2019 12:00:00 AM,changeCode,N,Not applicable,"2.2,2.7,8",H,STR_SLE,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,0.256791716152,22295122.2915039,33471.6841916838
2,Kieler Innenförde,Costal water,15.237,1,DECW_DESH_B2-9610-09-01, ,9610,DESH,12/19/2019 12:00:00 AM,Y,9,5,N, ,4,3,3,3, ,3,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,15.237,1,DE_CW_B2.9610.09.01,B2,"CHEM,NUTR,HMOC",12/22/2019 12:00:00 AM,changeCode,N,Not applicable,"2.2,2.4,2.7,4.1.3,5.1,8",H,STR_SWE,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,0.516349110118,44782213.9487305,72616.4584287515
3,Orther Bucht,Costal water,13.077,1,DECW_DESH_B2-9610-09-02, ,9610,DESH,12/19/2019 12:00:00 AM,N, , ,N,3, ,3,3,3,2, ,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,13.077,1,DE_CW_B2.9610.09.02,B2,"CHEM,NUTR",12/22/2019 12:00:00 AM,changeCode,N,Not applicable,"2.2,2.7,8",H,STR_KOG,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,0.296347768223,38573587.1210938,41786.4501059863
4,Travemünde,Costal water,1.008,1,DECW_DESH_B2-9610-10-01, ,9610,DESH,12/19/2019 12:00:00 AM,Y,9,5,N, ,5,3,3,3, ,3,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,1.008,1,DE_CW_B2.9610.10.01,B2,"CHEM,NUTR,HMOC",12/22/2019 12:00:00 AM,changeCode,N,Not applicable,"2.2,2.7,4.1.3,5.1,8",H,STR_TRA,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,0.112009386335,2903571.38769531,15584.4628521153
5,Pötenitzer Wiek,Costal water,17.322,1,DECW_DESH_B2-9610-10-02, ,9610,DESH,12/19/2019 12:00:00 AM,N, , ,N,5, ,3,3,3,3, ,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,17.322,1,DE_CW_B2.9610.10.02,B2,"CHEM,NUTR",12/22/2019 12:00:00 AM,changeCode,N,Not applicable,"2.2,2.7,8",H,STR_TRA,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,0.506906082995,49842910.6425781,68412.1579397437
6,untere Trave,Costal water,4.431,1,DECW_DESH_B2-9610-10-03, ,9610,DESH,12/19/2019 12:00:00 AM,Y,9,5,N, ,5,3,3,3, ,3,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,4.431,1,DE_CW_B2.9610.10.03,B3,"CHEM,NUTR,HMOC",12/22/2019 12:00:00 AM,changeCode,N,Not applicable,"2.2,2.4,2.7,4.1.3,5.1,8",H,STR_TRA,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,0.512029235523,12735655.4125977,68669.6022327577
7,Geltinger Bucht,Costal water,43.8,1,DECW_DESH_B3-9610-07-05, ,9610,DESH,12/19/2019 12:00:00 AM,N, , ,N,4, ,3,3,3,3, ,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,43.8,1,DE_CW_B3.9610.07.05,B3,"CHEM,NUTR",12/22/2019 12:00:00 AM,changeCode,Y,CW-BC8,"2.2,2.7,8",H,STR_SLE,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,1.22275318856,131539902.753418,164106.266624548
8,Außenschlei,Costal water,34.125,1,DECW_DESH_B3-9610-07-06, ,9610,DESH,12/19/2019 12:00:00 AM,N, , ,N,3, ,3,3,3,3, ,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,34.125,1,DE_CW_B3.9610.07.06,B3,"CHEM,NUTR",12/22/2019 12:00:00 AM,changeCode,N,CW-BC8,"2.2,2.7,8",H,STR_SLE,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,0.510734525139,102015149.375,78133.6892243282
9,Eckernförder Bucht Rand,Costal water,50.4,1,DECW_DESH_B3-9610-07-07, ,9610,DESH,12/19/2019 12:00:00 AM,N, , ,N,3, ,3,3,3,3, ,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,50.4,1,DE_CW_B3.9610.07.07,B3,"CHEM,NUTR,HMOC",12/22/2019 12:00:00 AM,changeCode,N,CW-BC8,"2.2,2.7,4.5,8",H,STR_SLE,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,1.55071358628,149349772.277832,206135.223783235
10,Strelasund,Costal water,78.335,1,DECW_DEMV_WP_12,DEMV_RG_965_CW,9650,DEMV,12/17/2019 12:00:00 AM,N, , ,N,4, ,3,3,3,3, ,3,,3, ,10/7/2021 12:00:00 AM,DEMV,78.335,1,DE_CW_DEMV_WP_12,B2,"NUTR,CHEM",12/22/2015 12:00:00 AM,noChange,N,CW-BC6,"2.2,2.7",L,WP_KGO,9650,Cwbodygeom,CWBODYGEOM_DEMV.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DEMVnull=104192,1.7582613038,229265966.728516,238256.628344233
